movieTitleCn,movieTitleEn,director,runtime
冰雪奇缘2,Frozen II,珍妮弗·李,103分钟
你是凶手,The Guity Ones,王昱,94分钟
触不可及,The Upside,尼尔·博格,1h 58min
海上钢琴师,The Legend of 1900,朱塞佩·托纳多雷,125分钟 | 170 分钟（导演剪辑版）
追凶十九年,Bloody Daisy,徐翔云,105 分钟
决战中途岛,Midway,罗兰·艾默里奇,136分钟
大约在冬季,Somewhere Winter,王维明,
长安道,Hunt Down,李骏,113分钟
